Match ID,Innings,Team ID,Team,Total,Wickets,Overs,RR,LB,NB,W,B,PEN
501266,2,335970,Royal Challengers Bangalore,129,2,18.0,7.16,2.0,,8.0,,
501264,1,335980,Deccan Chargers,198,2,20.0,9.9,8.0,,8.0,,
501264,2,335973,Kings XI Punjab,116,10,19.0,6.1,2.0,,2.0,,
501263,1,335978,Mumbai Indians,133,5,20.0,6.65,2.0,,3.0,,
501263,2,335977,Rajasthan Royals,134,0,13.1,10.17,,,2.0,,
501262,1,474666,Pune Warriors,118,7,20.0,5.9,3.0,1.0,8.0,,
501262,2,335971,Kolkata Knight Riders,119,3,16.4,7.14,1.0,1.0,3.0,,
501261,1,335974,Chennai Super Kings,152,5,20.0,7.6,2.0,,2.0,,
501261,2,474668,Kochi Tuskers Kerala,141,5,20.0,7.05,2.0,,7.0,,
501260,1,335973,Kings XI Punjab,232,2,20.0,11.6,14.0,2.0,4.0,7.0,
501260,2,335970,Royal Challengers Bangalore,121,10,17.0,7.11,1.0,,4.0,4.0,
501259,1,474666,Pune Warriors,136,9,20.0,6.8,1.0,,2.0,,
501259,2,335980,Deccan Chargers,138,4,19.2,7.13,,,9.0,,
501258,1,335977,Rajasthan Royals,97,10,18.3,5.24,1.0,,2.0,,
501258,2,474668,Kochi Tuskers Kerala,98,2,7.2,13.36,5.0,2.0,2.0,,
501257,1,335973,Kings XI Punjab,170,6,20.0,8.5,2.0,,7.0,,
501257,2,335975,Delhi Daredevils,141,8,20.0,7.05,4.0,,8.0,,
501256,1,335980,Deccan Chargers,135,6,20.0,6.75,4.0,,3.0,,
501256,2,335978,Mumbai Indians,125,8,20.0,6.25,2.0,,8.0,8.0,
501255,1,335971,Kolkata Knight Riders,89,4,13.0,6.84,1.0,,2.0,4.0,
501255,2,335970,Royal Challengers Bangalore,105,6,12.3,8.4,,,6.0,,
501254,1,474668,Kochi Tuskers Kerala,178,7,20.0,8.9,4.0,,19.0,,
501254,2,335973,Kings XI Punjab,181,4,18.5,9.61,2.0,,6.0,,
501253,1,335974,Chennai Super Kings,176,4,20.0,8.8,2.0,1.0,1.0,,
501253,2,335975,Delhi Daredevils,158,6,20.0,7.9,9.0,,5.0,,
501252,1,335977,Rajasthan Royals,146,6,20.0,7.3,1.0,2.0,7.0,1.0,
501252,2,335970,Royal Challengers Bangalore,151,1,17.0,8.88,1.0,,2.0,1.0,
501251,1,335973,Kings XI Punjab,163,8,20.0,8.15,13.0,,7.0,2.0,
501251,2,335978,Mumbai Indians,87,10,12.5,6.77,,,4.0,1.0,
501250,1,335980,Deccan Chargers,136,8,20.0,6.8,,,1.0,,
501250,2,474666,Pune Warriors,137,4,18.2,7.47,,1.0,2.0,,
501249,1,335974,Chennai Super Kings,196,3,20.0,9.8,2.0,,6.0,,
501249,2,335977,Rajasthan Royals,133,10,19.3,6.82,,,5.0,,
501248,1,335973,Kings XI Punjab,119,8,20.0,5.95,3.0,,,1.0,
501248,2,474666,Pune Warriors,120,5,17.1,6.99,1.0,1.0,6.0,4.0,
501247,1,474668,Kochi Tuskers Kerala,125,9,20.0,6.25,,1.0,9.0,,
501247,2,335970,Royal Challengers Bangalore,128,1,13.1,9.72,2.0,1.0,2.0,,
501246,1,335978,Mumbai Indians,178,4,20.0,8.9,2.0,,4.0,,
501246,2,335975,Delhi Daredevils,146,10,19.5,7.36,,2.0,6.0,1.0,
501245,1,335974,Chennai Super Kings,114,4,20.0,5.7,3.0,,3.0,,
501245,2,335971,Kolkata Knight Riders,61,2,10.0,6.1,1.0,,3.0,,
501244,1,335970,Royal Challengers Bangalore,205,6,20.0,10.25,5.0,,1.0,,
501244,2,335973,Kings XI Punjab,120,9,20.0,6.0,,1.0,4.0,,
501243,1,335980,Deccan Chargers,175,5,20.0,8.75,4.0,2.0,4.0,,
501243,2,335975,Delhi Daredevils,179,6,19.0,9.42,1.0,1.0,8.0,,
501242,1,474668,Kochi Tuskers Kerala,156,5,20.0,7.8,1.0,2.0,3.0,,
501242,2,335971,Kolkata Knight Riders,139,7,20.0,6.95,1.0,,2.0,,
501241,1,335978,Mumbai Indians,160,7,20.0,8.0,7.0,1.0,3.0,4.0,
501241,2,474666,Pune Warriors,139,7,20.0,6.95,4.0,,6.0,,
501240,1,335977,Rajasthan Royals,147,6,20.0,7.35,5.0,1.0,1.0,,
501240,2,335974,Chennai Super Kings,149,2,18.4,7.98,,,4.0,,
501239,1,335971,Kolkata Knight Riders,169,4,20.0,8.45,4.0,2.0,4.0,,
501239,2,335980,Deccan Chargers,149,6,20.0,7.45,,1.0,2.0,1.0,
501238,1,335975,Delhi Daredevils,140,6,20.0,7.0,2.0,1.0,4.0,,
501238,2,474668,Kochi Tuskers Kerala,141,3,15.0,9.4,3.0,3.0,12.0,,
501237,1,335978,Mumbai Indians,159,5,20.0,7.95,1.0,,2.0,2.0,
501237,2,335973,Kings XI Punjab,136,8,20.0,6.8,5.0,,1.0,6.0,
501236,1,335974,Chennai Super Kings,165,5,20.0,8.25,1.0,2.0,2.0,4.0,
501236,2,335980,Deccan Chargers,146,8,20.0,7.3,1.0,,3.0,1.0,
501235,1,474666,Pune Warriors,143,7,20.0,7.15,2.0,,2.0,1.0,
501235,2,335977,Rajasthan Royals,144,4,19.3,7.38,3.0,1.0,1.0,6.0,
501234,1,335973,Kings XI Punjab,119,6,20.0,5.95,,,5.0,1.0,
501234,2,335971,Kolkata Knight Riders,120,2,17.2,6.92,1.0,,11.0,,
501233,1,335975,Delhi Daredevils,157,7,20.0,7.85,8.0,2.0,6.0,,
501233,2,474668,Kochi Tuskers Kerala,119,10,18.5,6.31,1.0,,5.0,2.0,
501232,1,335970,Royal Challengers Bangalore,181,5,20.0,9.05,,,1.0,1.0,
501232,2,474666,Pune Warriors,155,5,20.0,7.75,4.0,,5.0,,
501231,1,335978,Mumbai Indians,94,8,20.0,4.7,3.0,,4.0,,
501231,2,335977,Rajasthan Royals,95,3,18.1,5.22,1.0,,1.0,,
501230,1,335971,Kolkata Knight Riders,148,7,20.0,7.4,2.0,,6.0,,
501230,2,335975,Delhi Daredevils,131,9,20.0,6.55,,,4.0,3.0,
501229,1,335980,Deccan Chargers,129,7,20.0,6.45,1.0,2.0,3.0,1.0,
501229,2,474668,Kochi Tuskers Kerala,74,10,16.3,4.48,3.0,,4.0,,
501228,1,474666,Pune Warriors,141,6,20.0,7.05,1.0,,4.0,,
501228,2,335974,Chennai Super Kings,145,2,19.3,7.43,2.0,1.0,5.0,,
501227,1,335975,Delhi Daredevils,160,6,20.0,8.0,4.0,2.0,7.0,,
501227,2,335970,Royal Challengers Bangalore,161,7,19.3,8.25,4.0,1.0,8.0,5.0,
501226,1,335974,Chennai Super Kings,142,6,20.0,7.1,,,3.0,1.0,
501226,2,474666,Pune Warriors,117,9,20.0,5.85,3.0,2.0,2.0,,
501225,1,474668,Kochi Tuskers Kerala,109,10,20.0,5.45,4.0,1.0,2.0,2.0,
501225,2,335977,Rajasthan Royals,111,2,14.1,7.83,1.0,,1.0,,
501224,1,335978,Mumbai Indians,172,4,20.0,8.6,3.0,,2.0,,
501224,2,335980,Deccan Chargers,135,8,20.0,6.75,5.0,,7.0,,
501223,1,335975,Delhi Daredevils,231,4,20.0,11.55,2.0,,14.0,,
501223,2,335973,Kings XI Punjab,202,6,20.0,10.1,2.0,2.0,1.0,,
501221,1,335978,Mumbai Indians,164,4,20.0,8.2,1.0,,12.0,1.0,
501221,2,335974,Chennai Super Kings,156,9,20.0,7.8,1.0,1.0,8.0,,
501222,1,335971,Kolkata Knight Riders,171,5,20.0,8.55,,1.0,12.0,,
501222,2,335970,Royal Challengers Bangalore,175,1,18.1,9.63,,,5.0,,
501220,1,335973,Kings XI Punjab,195,7,20.0,9.75,6.0,3.0,7.0,1.0,
501220,2,335977,Rajasthan Royals,147,7,20.0,7.35,1.0,,1.0,,
501219,1,474668,Kochi Tuskers Kerala,132,7,20.0,6.6,4.0,,3.0,1.0,
501219,2,335971,Kolkata Knight Riders,126,9,20.0,6.3,4.0,,3.0,4.0,
501218,1,474666,Pune Warriors,118,10,17.2,6.8,6.0,4.0,2.0,,
501218,2,335978,Mumbai Indians,124,3,20.0,6.2,6.0,,2.0,2.0,
501216,1,335980,Deccan Chargers,168,4,20.0,8.4,2.0,,2.0,1.0,
501216,2,335975,Delhi Daredevils,152,7,20.0,7.6,1.0,,6.0,6.0,
501215,1,335974,Chennai Super Kings,131,4,17.0,7.7,1.0,,2.0,,
501215,2,474668,Kochi Tuskers Kerala,135,3,15.0,9.0,1.0,,2.0,,
501214,1,335977,Rajasthan Royals,81,10,15.2,5.28,1.0,1.0,3.0,,
501214,2,335971,Kolkata Knight Riders,85,2,13.5,6.14,4.0,2.0,5.0,,
501213,1,474666,Pune Warriors,187,5,20.0,9.35,1.0,1.0,5.0,1.0,
501213,2,335975,Delhi Daredevils,190,7,19.2,9.82,,,9.0,1.0,
501212,1,335980,Deccan Chargers,165,8,20.0,8.25,3.0,1.0,1.0,,
501212,2,335973,Kings XI Punjab,166,2,17.4,9.39,7.0,2.0,5.0,,
501211,1,335974,Chennai Super Kings,183,5,20.0,9.15,2.0,,1.0,1.0,
501211,2,335970,Royal Challengers Bangalore,162,7,20.0,8.1,3.0,,6.0,,
501210,1,335978,Mumbai Indians,182,2,20.0,9.1,11.0,,6.0,,
501210,2,474668,Kochi Tuskers Kerala,184,2,19.0,9.68,3.0,,8.0,,
501209,1,335977,Rajasthan Royals,159,4,20.0,7.95,6.0,,12.0,1.0,
501209,2,335971,Kolkata Knight Riders,160,1,18.3,8.64,,1.0,3.0,,
501208,1,335980,Deccan Chargers,175,5,20.0,8.75,2.0,2.0,3.0,,
501208,2,335970,Royal Challengers Bangalore,142,9,20.0,7.1,3.0,3.0,2.0,,
